id,name,lat,long,location_name,region_name,country_name
105288,"Viligili Corner",0.746038,73.4377,"Huvadhoo Atoll","Laccadive Sea",Maldives
105289,"Maamendhoo Corner",0.722308,73.4409,"Huvadhoo Atoll","Laccadive Sea",Maldives
105290,Nilandhoo,0.632491,73.4331,"Gaafu Alif Atoll","Laccadive Sea",Maldives
105292,"Maarehaa Corner",0.457406,73.5683,"Huvadhoo Atoll","Laccadive Sea",Maldives
105295,"Gemanafushi Corner",0.45423,73.5698,"Huvadhoo Atoll","Laccadive Sea",Maldives
105303,"Dolphins Corner",3.21382,73.0368,"Nord Nilandhe Atoll, Filitheyo","Indian Sea",Maldives
105304,Kudafalhu,3.21382,73.0368,"Nord Nilandhe Atoll, Filitheyo","Indian Sea",Maldives
105305,"Lighthouse Chanel",3.21382,73.0368,"Nord Nilandhe Atoll, Filitheyo","Indian Sea",Maldives
105466,"Gemanafushi Outer Reef",0.452074,73.5721,"Huvadhoo Atoll","Laccadive Sea",Maldives
105467,"Maavarulaa Corner",0.447435,73.5106,"Huvadhoo Atoll","Laccadive Sea",Maldives
105468,"Lonudhoo Thila",0.307465,73.4237,"Huvadhoo Atoll","Laccadive Sea",Maldives
105469,"Foammulah West Wall",-0.306672,73.3996,"Fuvahmulah Atoll","Laccadive Sea",Maldives
105470,"Foammulah North Corner",-0.310255,73.4431,"Fuvahmulah Atoll","Laccadive Sea",Maldives
105471,"Dhiyadhoo Reef",0.474405,73.5311,"Huvadhoo Atoll","Laccadive Sea",Maldives
106421,"Lan Kan Reef",4.21653,73.5341,"Male Atoll","Male Atoll",Maldives
106422,"Nassimo Thila",4.1716,73.322,"Male Atoll","Male Atoll",Maldives
106423,"Sun Light Thila",4.22556,73.5205,"Male Atoll","Male Atoll",Maldives
106424,"Kuda Thila",4.30616,73.5378,"Süd Male Atoll","Süd Male Atoll",Maldives
106425,"Miyaru Faru",3.98585,73.5163,"Süd Male Atoll","Süd Male Atoll",Maldives
106426,"Kandhooma Thila",4.02677,73.5373,"Süd Male Atoll","Süd Male Atoll",Maldives
106427,"Alimata Faru",3.59083,73.4981,"Felidhe Atoll","Felidhe Atoll",Maldives
106428,"Miyaru Kandu",3.59236,73.5029,"Felidhe Atoll","Felidhe Atoll",Maldives
106429,"Golden Wall",3.44296,73.6019,"Felidhe Atoll","Felidhe Atoll",Maldives
106430,"Fotteyo Kandu",3.48781,73.6973,"Felidhe Atoll","Felidhe Atoll",Maldives
106431,"Fotteyo Kandu",3.48781,73.6973,"Felidhe Atoll","Felidhe Atoll",Maldives
106432,"Miyaru Kandu",3.59236,73.5029,"Felidhe Atoll","Felidhe Atoll",Maldives
106433,"Faru Kan",3.68072,73.4536,"Felidhe Atoll","Felidhe Atoll",Maldives
106434,"Faru Kan",3.68072,73.4536,"Felidhe Atoll","Felidhe Atoll",Maldives
106435,"Kunavashi Kandu",3.62795,73.3715,"Felidhe Atoll","Felidhe Atoll",Maldives
106436,"Broken Rock",3.55625,72.936,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106437,"Kudarah Tila",3.53469,72.9274,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106438,"Mv Kudhi Maa",3.59572,72.8843,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106439,"Rahdhiga Thila",3.72949,72.759,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106440,Panttone,3.80585,72.7136,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106441,"Dhega Thila",3.84467,72.7501,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106442,"Thudu Fushi Thila",3.80807,72.7155,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106443,"Himandhoo Thila",3.91528,72.7141,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106444,"Merofen Fushi",3.94496,72.881,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106445,Fishhead,3.90673,72.9203,"Süd Ari Atoll","Süd Ari Atoll",Maldives
106446,"Maledive Victory",4.17685,73.5261,"Male Atoll","Male Atoll",Maldives
107224,Maduvvari,3.11216,73.5802,"Medhufushi Meemu Atoll","Laccadive Sea",Maldives
107623,Caves,4.25932,72.9822,"Kuramathi (Rasdhoo Atoll)","Indian Ocean",Maldives
107624,"Hammerhead Point",4.26353,73.0004,"Kuramathi (Rasdhoo Atoll)","Indian Ocean",Maldives
107964,"Kadhdhoo Kudagiri",1.86056,73.5214,"Laamu Atoll","Indian Ocean",Maldives
107966,"Olhugiri Kandu",1.97723,73.5361,"Laamu Atoll","Indian Ocean",Maldives
107968,"Kurali Kandu",1.97723,73.5361,"Laamu Atoll","Indian Ocean",Maldives
107969,"Gahura Kandu",1.97725,73.5361,"Medhufushi Meemu Atoll","Indian Ocean",Maldives
108655,"Manta Block",4.31679,73.0068,"Kuramathi (Rasdhoo Atoll)","Indian Ocean",Maldives
108690,"Fan Reef",4.25624,72.9833,"Kuramathi (Rasdhoo Atoll)","Indian Ocean",Maldives
109091,"Angaga Thila",3.64954,72.8216,"South Ari Atoll","Indian Ocean",Maldives
109194,"Losrichi Corner",4.1755,73.5093,"Male Atoll","OCEANS INDIEN",Maldives
109195,"Waa Ggiri",4.1755,73.5093,"Male Atoll","Indian Ocean",Maldives
109325,"Madivaru Corner",4.26444,73.0001,"Ari Atoll","Indian Ocean",Maldives
109491,"Turtle Rock",4.58232,73.4613,"North Male Atoll","Indian Ocean",Maldives
109589,"Guraidhoo Corner, Maldives",0,0,"South Male Atoll","Indian Ocean",Maldives
109590,"Miyaru Kandu, Maldives",0,0,"Felidhoo Atoll","Indian Ocean",Maldives
109591,"Fotteyo Thila, Maldives",0,0,"Felidhoo Atoll","Indian Ocean",Maldives
109606,Foamhulah,0,0,"Addu Atoll","Indian Ocean",Maldives
109607,Madigan,0,0,"Addu Atoll","Indian Ocean",Maldives
109608,"British Loyalty",0,0,"Addu Atoll","Indian Ocean",Maldives
109609,"Hitadhoo Kuda Kandu",0,0,"Addu Atoll","Indian Ocean",Maldives
